Date : 2023-03-21 15:18:44
Directory : f:\研究生学习\编程学习\my_projects\model_library_ts
Total : 139 files,  42096 codes, 903 comments, 850 blanks, all 43849 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src\components\Commit                                                                                      |          1 |         20 |          0 |          4 |         24 |
| src\components\DatasetItem                                                                                 |          2 |         30 |          0 |          6 |         36 |
| src\components\DatasetListItem                                                                             |          1 |         15 |          0 |          3 |         18 |
| src\components\DiffComponent                                                                               |          2 |        112 |          8 |         16 |        136 |
| src\components\ErrorStatus                                                                                 |          1 |          6 |          0 |          2 |          8 |
| src\components\FileBreadcrumb                                                                              |          2 |         37 |          1 |          3 |         41 |
| src\components\FilesTableHeader                                                                            |          2 |         54 |          0 |          6 |         60 |
| src\components\GlobalHeader                                                                                |          2 |        149 |          2 |         17 |        168 |
| src\components\LabelBlock                                                                                  |          1 |         43 |          3 |          8 |         54 |
| src\components\LoadingStatus                                                                               |          2 |         15 |          1 |          2 |         18 |
| src\components\ModelIcon                                                                                   |          2 |         23 |          0 |          6 |         29 |
| src\components\ModelItem                                                                                   |          2 |         61 |          3 |         11 |         75 |
| src\components\ModelListItem                                                                               |          2 |         19 |          0 |          2 |         21 |
| src\components\PersonalIcon                                                                                |          1 |          7 |          1 |          2 |         10 |
| src\components\TasksMainPage                                                                               |          1 |         28 |          6 |          4 |         38 |
| src\components\UpdateMessage                                                                               |          2 |         35 |          1 |          6 |         42 |
| src\models                                                                                                 |          8 |        223 |          5 |         45 |        273 |
| src\pages                                                                                                  |         42 |      2,064 |         65 |        268 |      2,397 |
| src\pages\CreateItem                                                                                       |          2 |        157 |          3 |         14 |        174 |
| src\pages\Dataset                                                                                          |          7 |        267 |          7 |         34 |        308 |
| src\pages\Dataset (Files)                                                                                  |          1 |         34 |          0 |          2 |         36 |
| src\pages\DatasetDetails                                                                                   |          4 |        368 |         17 |         55 |        440 |
| src\pages\DatasetDetails (Files)                                                                           |          1 |         88 |          9 |          8 |        105 |
| src\pages\DatasetDetails\components                                                                        |          3 |        280 |          8 |         47 |        335 |
| src\pages\DatasetDetails\components\DatasetCard                                                            |          2 |        133 |          2 |         37 |        172 |
| src\pages\DatasetDetails\components\DatasetFilesTable                                                      |          1 |        147 |          6 |         10 |        163 |
| src\pages\Dataset\DatasetLabel                                                                             |          2 |        140 |          4 |         18 |        162 |
| src\pages\Dataset\DatasetList                                                                              |          2 |         29 |          0 |          4 |         33 |
| src\pages\Dataset\ListHeader                                                                               |          1 |         40 |          3 |          4 |         47 |
| src\pages\Dataset\ListPagination                                                                           |          1 |         24 |          0 |          6 |         30 |
| src\pages\Doc                                                                                              |          2 |         58 |          1 |          4 |         63 |
| src\pages\Home                                                                                             |          3 |        210 |         10 |         22 |        242 |
| src\pages\Home (Files)                                                                                     |          1 |         11 |          7 |          4 |         22 |
| src\pages\Home\HomeLoggedIn                                                                                |          2 |        199 |          3 |         18 |        220 |
| src\pages\Login                                                                                            |          2 |        126 |          6 |         15 |        147 |
| src\pages\Model                                                                                            |         10 |        307 |          9 |         35 |        351 |
| src\pages\Model (Files)                                                                                    |          2 |         58 |          1 |          5 |         64 |
| src\pages\ModelDetails                                                                                     |          7 |        457 |         12 |         75 |        544 |
| src\pages\ModelDetails (Files)                                                                             |          2 |        114 |          1 |         12 |        127 |
| src\pages\ModelDetails\components                                                                          |          5 |        343 |         11 |         63 |        417 |
| src\pages\ModelDetails\components\ModelCard                                                                |          3 |        157 |          3 |         44 |        204 |
| src\pages\ModelDetails\components\ModelFilesTable                                                          |          2 |        186 |          8 |         19 |        213 |
| src\pages\Model\ListHeader                                                                                 |          2 |         57 |          4 |          5 |         66 |
| src\pages\Model\ListPagination                                                                             |          2 |         31 |          0 |          6 |         37 |
| src\pages\Model\ModelLabel                                                                                 |          2 |        132 |          4 |         15 |        151 |
| src\pages\Model\ModelList                                                                                  |          2 |         29 |          0 |          4 |         33 |
| src\pages\Profile                                                                                          |          2 |         91 |          0 |          8 |         99 |
| src\pages\Setting                                                                                          |          1 |          6 |          0 |          2 |          8 |
| src\pages\User                                                                                             |          1 |         11 |          0 |          2 |         13 |
| src\pages\Welcome                                                                                          |          1 |          6 |          0 |          2 |          8 |
| src\routes                                                                                                 |          1 |         76 |         41 |          5 |        122 |
| src\store                                                                                                  |         19 |        668 |        307 |        136 |      1,111 |
| src\store (Files)                                                                                          |          1 |         31 |          0 |          3 |         34 |
| src\store\features                                                                                         |         18 |        637 |        307 |        133 |      1,077 |
| src\store\features\dataset                                                                                 |          2 |        148 |         43 |         21 |        212 |
| src\store\features\datasetDetail                                                                           |          2 |         56 |         46 |         11 |        113 |
| src\store\features\fileContent                                                                             |          2 |         40 |         30 |         15 |         85 |
| src\store\features\login                                                                                   |          2 |         59 |         29 |         17 |        105 |
| src\store\features\model                                                                                   |          2 |        159 |         54 |         19 |        232 |
| src\store\features\modelDetail                                                                             |          2 |         57 |         46 |         15 |        118 |
| src\store\features\personalFiles                                                                           |          2 |         37 |         15 |         12 |         64 |
| src\store\features\search                                                                                  |          2 |         44 |         30 |         11 |         85 |
| src\store\features\trendingList                                                                            |          2 |         37 |         14 |         12 |         63 |
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                   | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| f:\研究生学习\编程学习\my_projects\model_library_ts\.env                                                            | Properties         |          1 |          0 |          0 |          1 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\README.md                                                       | Markdown           |         26 |          0 |         21 |         47 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\config\env.js                                                   | JavaScript         |         59 |         35 |         11 |        105 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\config\getHttpsConfig.js                                        | JavaScript         |         51 |          7 |          9 |         67 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\config\jest\babelTransform.js                                   | JavaScript         |         25 |          0 |          5 |         30 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\config\jest\cssTransform.js                                     | JavaScript         |          9 |          3 |          3 |         15 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\config\jest\fileTransform.js                                    | JavaScript         |         31 |          4 |          6 |         41 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\config\modules.js                                               | JavaScript         |         80 |         30 |         25 |        135 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\config\paths.js                                                 | JavaScript         |         55 |         10 |         13 |         78 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\config\webpack.config.js                                        | JavaScript         |        603 |        188 |         23 |        814 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\config\webpackDevServer.config.js                               | JavaScript         |         63 |         58 |          7 |        128 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\config\webpack\persistentCache\createEnvironmentHash.js         | JavaScript         |          7 |          0 |          3 |         10 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\craco.config.js                                                 | JavaScript         |          2 |          1 |          0 |          3 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\package-lock.json                                               | JSON               |     35,974 |          0 |          1 |     35,975 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\package.json                                                    | JSON               |        187 |          0 |          1 |        188 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\public\font.css                                                 | CSS                |          4 |          0 |          0 |          4 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\public\index.html                                               | HTML               |         18 |         23 |          3 |         44 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\public\manifest.json                                            | JSON               |         25 |          0 |          1 |         26 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\scripts\build.js                                                | JavaScript         |        174 |         21 |         23 |        218 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\scripts\start.js                                                | JavaScript         |        122 |         17 |         16 |        155 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\scripts\test.js                                                 | JavaScript         |         36 |          7 |         10 |         53 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\App.tsx                                                     | TypeScript JSX     |         36 |          0 |          3 |         39 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\app\LabelConversionArray.ts                                 | TypeScript         |          2 |          0 |          1 |          3 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\app\displayNumberOfBytes.ts                                 | TypeScript         |          8 |          0 |          1 |          9 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\app\getTimeAgoString.ts                                     | TypeScript         |         27 |          0 |          2 |         29 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\app\getTimeYMD.ts                                           | TypeScript         |          7 |          0 |          0 |          7 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\app\hooks.ts                                                | TypeScript         |          4 |          1 |          2 |          7 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\app\icons\modelIcon.svg                                     | XML                |         12 |          0 |          0 |         12 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\app\icons\profile.svg                                       | XML                |         11 |          0 |          0 |         11 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\app\icons\raw.svg                                           | XML                |          7 |          0 |          0 |          7 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\app\mock.ts                                                 | TypeScript         |        337 |         24 |         26 |        387 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\CategoryLabel\index.scss                         | SCSS               |          8 |          0 |          1 |          9 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\CategoryLabel\index.tsx                          | TypeScript JSX     |         34 |          0 |          8 |         42 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\CodeDisplay\index.scss                           | SCSS               |         68 |          3 |         15 |         86 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\CodeDisplay\index.tsx                            | TypeScript JSX     |        105 |         12 |         11 |        128 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\CodeEditor\index.scss                            | SCSS               |          3 |          0 |          0 |          3 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\CodeEditor\index.tsx                             | TypeScript JSX     |         48 |          2 |         12 |         62 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\Commit\index.tsx                                 | TypeScript JSX     |         20 |          0 |          4 |         24 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\DatasetItem\index.scss                           | SCSS               |         13 |          0 |          2 |         15 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\DatasetItem\index.tsx                            | TypeScript JSX     |         17 |          0 |          4 |         21 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\DatasetListItem\index.tsx                        | TypeScript JSX     |         15 |          0 |          3 |         18 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\DiffComponent\index.scss                         | SCSS               |         58 |          3 |         12 |         73 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\DiffComponent\index.tsx                          | TypeScript JSX     |         54 |          5 |          4 |         63 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\ErrorStatus\index.tsx                            | TypeScript JSX     |          6 |          0 |          2 |          8 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\FileBreadcrumb\index.scss                        | SCSS               |          8 |          0 |          1 |          9 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\FileBreadcrumb\index.tsx                         | TypeScript JSX     |         29 |          1 |          2 |         32 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\FilesTableHeader\index.scss                      | SCSS               |         33 |          0 |          4 |         37 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\FilesTableHeader\index.tsx                       | TypeScript JSX     |         21 |          0 |          2 |         23 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\GlobalHeader\index.scss                          | SCSS               |         49 |          1 |          9 |         59 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\GlobalHeader\index.tsx                           | TypeScript JSX     |        100 |          1 |          8 |        109 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\LabelBlock\index.tsx                             | TypeScript JSX     |         43 |          3 |          8 |         54 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\LoadingStatus\index.scss                         | SCSS               |          5 |          1 |          0 |          6 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\LoadingStatus\index.tsx                          | TypeScript JSX     |         10 |          0 |          2 |         12 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\ModelIcon\index.scss                             | SCSS               |         15 |          0 |          4 |         19 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\ModelIcon\index.tsx                              | TypeScript JSX     |          8 |          0 |          2 |         10 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\ModelItem\index.scss                             | SCSS               |         36 |          0 |          8 |         44 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\ModelItem\index.tsx                              | TypeScript JSX     |         25 |          3 |          3 |         31 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\ModelListItem\index.scss                         | SCSS               |          3 |          0 |          0 |          3 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\ModelListItem\index.tsx                          | TypeScript JSX     |         16 |          0 |          2 |         18 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\PersonalIcon\index.tsx                           | TypeScript JSX     |          7 |          1 |          2 |         10 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\TasksMainPage\index.tsx                          | TypeScript JSX     |         28 |          6 |          4 |         38 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\UpdateMessage\index.scss                         | SCSS               |         10 |          0 |          2 |         12 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\UpdateMessage\index.tsx                          | TypeScript JSX     |         25 |          1 |          4 |         30 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\index.scss                                                  | SCSS               |         38 |          1 |          9 |         48 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\index.tsx                                                   | TypeScript JSX     |         13 |          5 |          8 |         26 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\models\FileContent.d.ts                                     | TypeScript         |         11 |          1 |          2 |         14 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\models\dataset.d.ts                                         | TypeScript         |         51 |          1 |          9 |         61 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\models\datasetDetail.d.ts                                   | TypeScript         |         36 |          1 |          9 |         46 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\models\login.d.ts                                           | TypeScript         |         24 |          0 |          7 |         31 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\models\model.d.ts                                           | TypeScript         |         54 |          1 |          9 |         64 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\models\modelDetail.d.ts                                     | TypeScript         |         37 |          1 |          9 |         47 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\models\personalFiles.d.ts                                   | TypeScript         |          5 |          0 |          0 |          5 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\models\trendingList.d.ts                                    | TypeScript         |          5 |          0 |          0 |          5 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\CreateItem\index.scss                                 | SCSS               |         56 |          0 |         10 |         66 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\CreateItem\index.tsx                                  | TypeScript JSX     |        101 |          3 |          4 |        108 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\DatasetDetails\components\DatasetCard\hahaha.md       | Markdown           |         80 |          0 |         34 |        114 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\DatasetDetails\components\DatasetCard\index.tsx       | TypeScript JSX     |         53 |          2 |          3 |         58 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\DatasetDetails\components\DatasetFilesTable\index.tsx | TypeScript JSX     |        147 |          6 |         10 |        163 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\DatasetDetails\index.tsx                              | TypeScript JSX     |         88 |          9 |          8 |        105 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Dataset\DatasetLabel\index.scss                       | SCSS               |         38 |          0 |          8 |         46 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Dataset\DatasetLabel\index.tsx                        | TypeScript JSX     |        102 |          4 |         10 |        116 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Dataset\DatasetList\index.scss                        | SCSS               |          6 |          0 |          0 |          6 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Dataset\DatasetList\index.tsx                         | TypeScript JSX     |         23 |          0 |          4 |         27 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Dataset\ListHeader\index.tsx                          | TypeScript JSX     |         40 |          3 |          4 |         47 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Dataset\ListPagination\index.tsx                      | TypeScript JSX     |         24 |          0 |          6 |         30 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Dataset\index.tsx                                     | TypeScript JSX     |         34 |          0 |          2 |         36 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Doc\index.scss                                        | SCSS               |         10 |          0 |          1 |         11 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Doc\index.tsx                                         | TypeScript JSX     |         48 |          1 |          3 |         52 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Home\HomeLoggedIn\index.scss                          | SCSS               |         39 |          2 |          8 |         49 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Home\HomeLoggedIn\index.tsx                           | TypeScript JSX     |        160 |          1 |         10 |        171 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Home\index.tsx                                        | TypeScript JSX     |         11 |          7 |          4 |         22 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Login\index.scss                                      | SCSS               |         47 |          0 |          8 |         55 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Login\index.tsx                                       | TypeScript JSX     |         79 |          6 |          7 |         92 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\ModelDetails\components\ModelCard\hahaha.md           | Markdown           |         80 |          0 |         34 |        114 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\ModelDetails\components\ModelCard\index.scss          | SCSS               |         23 |          0 |          6 |         29 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\ModelDetails\components\ModelCard\index.tsx           | TypeScript JSX     |         54 |          3 |          4 |         61 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\ModelDetails\components\ModelFilesTable\index.scss    | SCSS               |         45 |          0 |         13 |         58 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\ModelDetails\components\ModelFilesTable\index.tsx     | TypeScript JSX     |        141 |          8 |          6 |        155 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\ModelDetails\index.scss                               | SCSS               |         28 |          0 |          5 |         33 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\ModelDetails\index.tsx                                | TypeScript JSX     |         86 |          1 |          7 |         94 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Model\ListHeader\index.scss                           | SCSS               |         16 |          1 |          3 |         20 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Model\ListHeader\index.tsx                            | TypeScript JSX     |         41 |          3 |          2 |         46 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Model\ListPagination\index.scss                       | SCSS               |          6 |          0 |          0 |          6 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Model\ListPagination\index.tsx                        | TypeScript JSX     |         25 |          0 |          6 |         31 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Model\ModelLabel\index.scss                           | SCSS               |         30 |          0 |          6 |         36 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Model\ModelLabel\index.tsx                            | TypeScript JSX     |        102 |          4 |          9 |        115 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Model\ModelList\index.scss                            | SCSS               |          5 |          0 |          0 |          5 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Model\ModelList\index.tsx                             | TypeScript JSX     |         24 |          0 |          4 |         28 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Model\index.scss                                      | SCSS               |         23 |          1 |          3 |         27 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Model\index.tsx                                       | TypeScript JSX     |         35 |          0 |          2 |         37 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Profile\index.scss                                    | SCSS               |         26 |          0 |          5 |         31 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Profile\index.tsx                                     | TypeScript JSX     |         65 |          0 |          3 |         68 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Setting\index.tsx                                     | TypeScript JSX     |          6 |          0 |          2 |          8 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\User\index.tsx                                        | TypeScript JSX     |         11 |          0 |          2 |         13 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Welcome\index.tsx                                     | TypeScript JSX     |          6 |          0 |          2 |          8 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\react-app-env.d.ts                                          | TypeScript         |         54 |          3 |         15 |         72 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\routes\index.tsx                                            | TypeScript JSX     |         76 |         41 |          5 |        122 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\setupProxy.js                                               | JavaScript         |         10 |          0 |          1 |         11 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\setupTests.ts                                               | TypeScript         |          1 |          4 |          1 |          6 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\store\features\datasetDetail\datasetDetailAPI.ts            | TypeScript         |          5 |          1 |          2 |          8 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\store\features\datasetDetail\datasetDetailSlice.ts          | TypeScript         |         51 |         45 |          9 |        105 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\store\features\dataset\datasetAPI.ts                        | TypeScript         |         14 |          3 |          6 |         23 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\store\features\dataset\datasetSlice.ts                      | TypeScript         |        134 |         40 |         15 |        189 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\store\features\fileContent\fileContentAPI.ts                | TypeScript         |          6 |          1 |          2 |          9 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\store\features\fileContent\fileContentSlice.ts              | TypeScript         |         34 |         29 |         13 |         76 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\store\features\login\loginAPI.ts                            | TypeScript         |          6 |          1 |          2 |          9 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\store\features\login\loginSlice.ts                          | TypeScript         |         53 |         28 |         15 |         96 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\store\features\modelDetail\modelDetailAPI.ts                | TypeScript         |          5 |          1 |          6 |         12 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\store\features\modelDetail\modelDetailSlice.ts              | TypeScript         |         52 |         45 |          9 |        106 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\store\features\model\modelAPI.ts                            | TypeScript         |         14 |          3 |          6 |         23 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\store\features\model\modelSlice.ts                          | TypeScript         |        145 |         51 |         13 |        209 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\store\features\personalFiles\personalFilesAPI.ts            | TypeScript         |          5 |          1 |          3 |          9 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\store\features\personalFiles\personalFilesSlice.ts          | TypeScript         |         32 |         14 |          9 |         55 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\store\features\search\searchAPI.ts                          | TypeScript         |          5 |          1 |          1 |          7 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\store\features\search\searchSlice.ts                        | TypeScript         |         39 |         29 |         10 |         78 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\store\features\trendingList\trendingListAPI.ts              | TypeScript         |          5 |          1 |          3 |          9 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\store\features\trendingList\trendingListSlice.ts            | TypeScript         |         32 |         13 |          9 |         54 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\store\store.ts                                              | TypeScript         |         31 |          0 |          3 |         34 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\tsconfig.json                                                   | JSON with Comments |         26 |          0 |          1 |         27 |
| Total                                                                                                      |                    |     42,096 |        903 |        850 |     43,849 |
+------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
