Date : 2023-03-31 17:03:25
Directory : f:\研究生学习\编程学习\my_projects\model_library_ts
Total : 144 files,  42614 codes, 990 comments, 816 blanks, all 44420 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src\components\Commit                                                                              |          1 |         20 |          0 |          4 |         24 |
| src\components\DatasetItem                                                                         |          2 |         36 |          0 |          6 |         42 |
| src\components\DatasetListItem                                                                     |          1 |         15 |          0 |          3 |         18 |
| src\components\DiffComponent                                                                       |          2 |        121 |         12 |         18 |        151 |
| src\components\ErrorStatus                                                                         |          1 |          6 |          0 |          2 |          8 |
| src\components\FileBreadcrumb                                                                      |          2 |         37 |          1 |          3 |         41 |
| src\components\FilesTableHeader                                                                    |          2 |         57 |          0 |          6 |         63 |
| src\components\GlobalHeader                                                                        |          2 |        149 |          2 |         17 |        168 |
| src\components\LabelBlock                                                                          |          1 |         43 |          3 |          8 |         54 |
| src\components\LoadingStatus                                                                       |          2 |         15 |          1 |          2 |         18 |
| src\components\ModelIcon                                                                           |          2 |         23 |          0 |          6 |         29 |
| src\components\ModelItem                                                                           |          2 |         70 |          3 |         12 |         85 |
| src\components\ModelListItem                                                                       |          2 |         19 |          0 |          2 |         21 |
| src\components\PersonalIcon                                                                        |          1 |          7 |          0 |          2 |          9 |
| src\components\TasksMainPage                                                                       |          1 |         28 |          6 |          4 |         38 |
| src\components\UpdateMessage                                                                       |          2 |         35 |          1 |          6 |         42 |
| src\models                                                                                         |         10 |        239 |          5 |         43 |        287 |
| src\pages                                                                                          |         41 |      2,047 |         89 |        207 |      2,343 |
| src\pages\CreateItem                                                                               |          2 |        161 |          2 |         14 |        177 |
| src\pages\Doc                                                                                      |          2 |         15 |          0 |          3 |         18 |
| src\pages\Home                                                                                     |          3 |        226 |         10 |         21 |        257 |
| src\pages\Home (Files)                                                                             |          1 |         19 |          7 |          4 |         30 |
| src\pages\Home\HomeLoggedIn                                                                        |          2 |        207 |          3 |         17 |        227 |
| src\pages\Item                                                                                     |         10 |        353 |          9 |         32 |        394 |
| src\pages\Item (Files)                                                                             |          2 |         87 |          1 |          4 |         92 |
| src\pages\ItemDetails                                                                              |         13 |        822 |         38 |         98 |        958 |
| src\pages\ItemDetails (Files)                                                                      |          2 |        132 |          5 |          8 |        145 |
| src\pages\ItemDetails\DeleteFile                                                                   |          2 |         89 |          4 |          8 |        101 |
| src\pages\ItemDetails\ItemCard                                                                     |          3 |        157 |          3 |         44 |        204 |
| src\pages\ItemDetails\ItemFilesTable                                                               |          2 |        214 |         11 |         21 |        246 |
| src\pages\ItemDetails\NewFile                                                                      |          2 |        104 |          8 |          5 |        117 |
| src\pages\ItemDetails\UploadFile                                                                   |          2 |        126 |          7 |         12 |        145 |
| src\pages\Item\ItemLabel                                                                           |          2 |        131 |          4 |         15 |        150 |
| src\pages\Item\ItemList                                                                            |          2 |         29 |          0 |          3 |         32 |
| src\pages\Item\ListHeader                                                                          |          2 |         67 |          4 |          5 |         76 |
| src\pages\Item\ListPagination                                                                      |          2 |         39 |          0 |          5 |         44 |
| src\pages\LogIn                                                                                    |          2 |        126 |          6 |         14 |        146 |
| src\pages\Notification                                                                             |          1 |          6 |          0 |          2 |          8 |
| src\pages\Profile                                                                                  |          2 |         99 |          0 |          7 |        106 |
| src\pages\Setting                                                                                  |          1 |          6 |          0 |          2 |          8 |
| src\pages\SignUp                                                                                   |          3 |        216 |         24 |         10 |        250 |
| src\pages\SignUp (Files)                                                                           |          1 |        117 |          8 |          5 |        130 |
| src\pages\SignUp\CompleteProfile                                                                   |          2 |         99 |         16 |          5 |        120 |
| src\pages\User                                                                                     |          1 |         11 |          0 |          2 |         13 |
| src\pages\Welcome                                                                                  |          1 |          6 |          0 |          2 |          8 |
| src\routes                                                                                         |          1 |         29 |         99 |          2 |        130 |
| src\store                                                                                          |         21 |        874 |        294 |        133 |      1,301 |
| src\store (Files)                                                                                  |          1 |         33 |          0 |          3 |         36 |
| src\store\features                                                                                 |         20 |        841 |        294 |        130 |      1,265 |
| src\store\features\dataset                                                                         |          2 |        192 |         44 |         19 |        255 |
| src\store\features\datasetDetail                                                                   |          2 |         63 |         30 |         11 |        104 |
| src\store\features\fileContent                                                                     |          2 |         40 |         30 |         15 |         85 |
| src\store\features\logIn                                                                           |          2 |         71 |         27 |         13 |        111 |
| src\store\features\model                                                                           |          2 |        211 |         47 |         19 |        277 |
| src\store\features\modelDetail                                                                     |          2 |         67 |         46 |         15 |        128 |
| src\store\features\personalFiles                                                                   |          2 |         45 |         15 |          9 |         69 |
| src\store\features\search                                                                          |          2 |         44 |         30 |         11 |         85 |
| src\store\features\signUp                                                                          |          2 |         71 |         11 |          6 |         88 |
| src\store\features\trendingList                                                                    |          2 |         37 |         14 |         12 |         63 |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                           | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| f:\研究生学习\编程学习\my_projects\model_library_ts\.env                                                    | Properties         |          1 |          0 |          0 |          1 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\README.md                                               | Markdown           |         26 |          0 |         21 |         47 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\config\env.js                                           | JavaScript         |         59 |         35 |         11 |        105 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\config\getHttpsConfig.js                                | JavaScript         |         51 |          7 |          9 |         67 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\config\jest\babelTransform.js                           | JavaScript         |         25 |          0 |          5 |         30 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\config\jest\cssTransform.js                             | JavaScript         |          9 |          3 |          3 |         15 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\config\jest\fileTransform.js                            | JavaScript         |         31 |          4 |          6 |         41 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\config\modules.js                                       | JavaScript         |         80 |         30 |         25 |        135 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\config\paths.js                                         | JavaScript         |         55 |         10 |         13 |         78 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\config\webpack.config.js                                | JavaScript         |        603 |        188 |         23 |        814 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\config\webpackDevServer.config.js                       | JavaScript         |         63 |         58 |          7 |        128 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\config\webpack\persistentCache\createEnvironmentHash.js | JavaScript         |          7 |          0 |          3 |         10 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\craco.config.js                                         | JavaScript         |          2 |          1 |          0 |          3 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\package-lock.json                                       | JSON               |     35,974 |          0 |          1 |     35,975 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\package.json                                            | JSON               |        187 |          0 |          1 |        188 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\public\font.css                                         | CSS                |          4 |          0 |          0 |          4 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\public\index.html                                       | HTML               |         18 |         23 |          3 |         44 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\public\manifest.json                                    | JSON               |         25 |          0 |          1 |         26 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\scripts\build.js                                        | JavaScript         |        174 |         21 |         23 |        218 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\scripts\start.js                                        | JavaScript         |        122 |         17 |         16 |        155 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\scripts\test.js                                         | JavaScript         |         36 |          7 |         10 |         53 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\App.tsx                                             | TypeScript JSX     |         36 |          0 |          3 |         39 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\app\displayNumberOfBytes.ts                         | TypeScript         |          8 |          0 |          1 |          9 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\app\getTimeAgoString.ts                             | TypeScript         |         27 |          0 |          2 |         29 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\app\getTimeYMD.ts                                   | TypeScript         |          7 |          0 |          0 |          7 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\app\hooks.ts                                        | TypeScript         |          4 |          1 |          2 |          7 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\app\icons\modelIcon.svg                             | XML                |         12 |          0 |          0 |         12 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\app\icons\profile.svg                               | XML                |         11 |          0 |          0 |         11 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\app\icons\raw.svg                                   | XML                |          7 |          0 |          0 |          7 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\app\labelConversionArray.ts                         | TypeScript         |          9 |          0 |          1 |         10 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\app\mock.ts                                         | TypeScript         |        436 |         25 |         35 |        496 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\CategoryLabel\index.scss                 | SCSS               |          8 |          0 |          1 |          9 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\CategoryLabel\index.tsx                  | TypeScript JSX     |         34 |          0 |          8 |         42 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\CodeDisplay\index.scss                   | SCSS               |         45 |          3 |          9 |         57 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\CodeDisplay\index.tsx                    | TypeScript JSX     |        104 |         12 |         12 |        128 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\CodeEditBox\index.scss                   | SCSS               |         45 |          0 |         15 |         60 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\CodeEditBox\index.tsx                    | TypeScript JSX     |         82 |          1 |          3 |         86 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\CodeEditor\index.scss                    | SCSS               |         48 |          3 |         11 |         62 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\CodeEditor\index.tsx                     | TypeScript JSX     |        127 |         12 |         11 |        150 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\Commit\index.tsx                         | TypeScript JSX     |         20 |          0 |          4 |         24 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\DatasetItem\index.scss                   | SCSS               |         13 |          0 |          2 |         15 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\DatasetItem\index.tsx                    | TypeScript JSX     |         23 |          0 |          4 |         27 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\DatasetListItem\index.tsx                | TypeScript JSX     |         15 |          0 |          3 |         18 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\DiffComponent\index.scss                 | SCSS               |         68 |          3 |         13 |         84 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\DiffComponent\index.tsx                  | TypeScript JSX     |         53 |          9 |          5 |         67 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\ErrorStatus\index.tsx                    | TypeScript JSX     |          6 |          0 |          2 |          8 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\FileBreadcrumb\index.scss                | SCSS               |          8 |          0 |          1 |          9 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\FileBreadcrumb\index.tsx                 | TypeScript JSX     |         29 |          1 |          2 |         32 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\FilesTableHeader\index.scss              | SCSS               |         33 |          0 |          4 |         37 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\FilesTableHeader\index.tsx               | TypeScript JSX     |         24 |          0 |          2 |         26 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\GlobalHeader\index.scss                  | SCSS               |         49 |          1 |          9 |         59 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\GlobalHeader\index.tsx                   | TypeScript JSX     |        100 |          1 |          8 |        109 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\LabelBlock\index.tsx                     | TypeScript JSX     |         43 |          3 |          8 |         54 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\LoadingStatus\index.scss                 | SCSS               |          5 |          1 |          0 |          6 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\LoadingStatus\index.tsx                  | TypeScript JSX     |         10 |          0 |          2 |         12 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\ModelIcon\index.scss                     | SCSS               |         15 |          0 |          4 |         19 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\ModelIcon\index.tsx                      | TypeScript JSX     |          8 |          0 |          2 |         10 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\ModelItem\index.scss                     | SCSS               |         41 |          0 |          9 |         50 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\ModelItem\index.tsx                      | TypeScript JSX     |         29 |          3 |          3 |         35 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\ModelListItem\index.scss                 | SCSS               |          3 |          0 |          0 |          3 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\ModelListItem\index.tsx                  | TypeScript JSX     |         16 |          0 |          2 |         18 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\PersonalIcon\index.tsx                   | TypeScript JSX     |          7 |          0 |          2 |          9 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\TasksMainPage\index.tsx                  | TypeScript JSX     |         28 |          6 |          4 |         38 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\UpdateMessage\index.scss                 | SCSS               |         10 |          0 |          2 |         12 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\UpdateMessage\index.tsx                  | TypeScript JSX     |         25 |          1 |          4 |         30 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\index.scss                                          | SCSS               |         38 |          1 |          9 |         48 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\index.tsx                                           | TypeScript JSX     |         13 |          5 |          8 |         26 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\models\FileContent.d.ts                             | TypeScript         |         11 |          1 |          2 |         14 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\models\dataset.d.ts                                 | TypeScript         |         58 |          1 |          9 |         68 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\models\datasetDetail.d.ts                           | TypeScript         |         28 |          1 |          7 |         36 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\models\loadingStatus.d.ts                           | TypeScript         |          7 |          0 |          0 |          7 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\models\login.d.ts                                   | TypeScript         |         18 |          0 |          6 |         24 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\models\model.d.ts                                   | TypeScript         |         55 |          1 |          9 |         65 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\models\modelDetail.d.ts                             | TypeScript         |         38 |          1 |          9 |         48 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\models\personalFiles.d.ts                           | TypeScript         |          5 |          0 |          0 |          5 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\models\signUp.d.ts                                  | TypeScript         |         14 |          0 |          1 |         15 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\models\trendingList.d.ts                            | TypeScript         |          5 |          0 |          0 |          5 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\CreateItem\index.scss                         | SCSS               |         56 |          0 |         10 |         66 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\CreateItem\index.tsx                          | TypeScript JSX     |        105 |          2 |          4 |        111 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Doc\index.scss                                | SCSS               |         10 |          0 |          1 |         11 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Doc\index.tsx                                 | TypeScript JSX     |          5 |          0 |          2 |          7 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Home\HomeLoggedIn\index.scss                  | SCSS               |         39 |          2 |          8 |         49 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Home\HomeLoggedIn\index.tsx                   | TypeScript JSX     |        168 |          1 |          9 |        178 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Home\index.tsx                                | TypeScript JSX     |         19 |          7 |          4 |         30 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\ItemDetails\DeleteFile\index.scss             | SCSS               |         22 |          0 |          3 |         25 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\ItemDetails\DeleteFile\index.tsx              | TypeScript JSX     |         67 |          4 |          5 |         76 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\ItemDetails\ItemCard\hahaha.md                | Markdown           |         80 |          0 |         34 |        114 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\ItemDetails\ItemCard\index.scss               | SCSS               |         23 |          0 |          6 |         29 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\ItemDetails\ItemCard\index.tsx                | TypeScript JSX     |         54 |          3 |          4 |         61 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\ItemDetails\ItemFilesTable\index.scss         | SCSS               |         52 |          0 |         15 |         67 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\ItemDetails\ItemFilesTable\index.tsx          | TypeScript JSX     |        162 |         11 |          6 |        179 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\ItemDetails\NewFile\index.scss                | SCSS               |          0 |          0 |          1 |          1 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\ItemDetails\NewFile\index.tsx                 | TypeScript JSX     |        104 |          8 |          4 |        116 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\ItemDetails\UploadFile\index.scss             | SCSS               |         36 |          0 |          6 |         42 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\ItemDetails\UploadFile\index.tsx              | TypeScript JSX     |         90 |          7 |          6 |        103 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\ItemDetails\index.scss                        | SCSS               |         28 |          0 |          5 |         33 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\ItemDetails\index.tsx                         | TypeScript JSX     |        104 |          5 |          3 |        112 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Item\ItemLabel\index.scss                     | SCSS               |         30 |          0 |          6 |         36 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Item\ItemLabel\index.tsx                      | TypeScript JSX     |        101 |          4 |          9 |        114 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Item\ItemList\index.scss                      | SCSS               |          5 |          0 |          0 |          5 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Item\ItemList\index.tsx                       | TypeScript JSX     |         24 |          0 |          3 |         27 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Item\ListHeader\index.scss                    | SCSS               |         16 |          1 |          3 |         20 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Item\ListHeader\index.tsx                     | TypeScript JSX     |         51 |          3 |          2 |         56 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Item\ListPagination\index.scss                | SCSS               |          6 |          0 |          0 |          6 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Item\ListPagination\index.tsx                 | TypeScript JSX     |         33 |          0 |          5 |         38 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Item\index.scss                               | SCSS               |         23 |          1 |          3 |         27 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Item\index.tsx                                | TypeScript JSX     |         64 |          0 |          1 |         65 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\LogIn\index.scss                              | SCSS               |         47 |          0 |          8 |         55 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\LogIn\index.tsx                               | TypeScript JSX     |         79 |          6 |          6 |         91 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Notification\index.tsx                        | TypeScript JSX     |          6 |          0 |          2 |          8 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Profile\index.scss                            | SCSS               |         26 |          0 |          5 |         31 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Profile\index.tsx                             | TypeScript JSX     |         73 |          0 |          2 |         75 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Setting\index.tsx                             | TypeScript JSX     |          6 |          0 |          2 |          8 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\SignUp\CompleteProfile\index.scss             | SCSS               |          6 |          0 |          0 |          6 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\SignUp\CompleteProfile\index.tsx              | TypeScript JSX     |         93 |         16 |          5 |        114 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\SignUp\index.tsx                              | TypeScript JSX     |        117 |          8 |          5 |        130 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\User\index.tsx                                | TypeScript JSX     |         11 |          0 |          2 |         13 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Welcome\index.tsx                             | TypeScript JSX     |          6 |          0 |          2 |          8 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\react-app-env.d.ts                                  | TypeScript         |         54 |          3 |         15 |         72 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\routes\index.tsx                                    | TypeScript JSX     |         29 |         99 |          2 |        130 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\setupProxy.js                                       | JavaScript         |         10 |          0 |          1 |         11 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\setupTests.ts                                       | TypeScript         |          1 |          4 |          1 |          6 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\store\features\datasetDetail\datasetDetailAPI.ts    | TypeScript         |          5 |          1 |          2 |          8 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\store\features\datasetDetail\datasetDetailSlice.ts  | TypeScript         |         58 |         29 |          9 |         96 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\store\features\dataset\datasetAPI.ts                | TypeScript         |         17 |          3 |          6 |         26 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\store\features\dataset\datasetSlice.ts              | TypeScript         |        175 |         41 |         13 |        229 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\store\features\fileContent\fileContentAPI.ts        | TypeScript         |          6 |          1 |          2 |          9 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\store\features\fileContent\fileContentSlice.ts      | TypeScript         |         34 |         29 |         13 |         76 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\store\features\logIn\logInAPI.ts                    | TypeScript         |          6 |          1 |          1 |          8 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\store\features\logIn\logInSlice.ts                  | TypeScript         |         65 |         26 |         12 |        103 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\store\features\modelDetail\modelDetailAPI.ts        | TypeScript         |          5 |          1 |          6 |         12 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\store\features\modelDetail\modelDetailSlice.ts      | TypeScript         |         62 |         45 |          9 |        116 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\store\features\model\modelAPI.ts                    | TypeScript         |         17 |          3 |          6 |         26 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\store\features\model\modelSlice.ts                  | TypeScript         |        194 |         44 |         13 |        251 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\store\features\personalFiles\personalFilesAPI.ts    | TypeScript         |          5 |          1 |          3 |          9 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\store\features\personalFiles\personalFilesSlice.ts  | TypeScript         |         40 |         14 |          6 |         60 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\store\features\search\searchAPI.ts                  | TypeScript         |          5 |          1 |          1 |          7 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\store\features\search\searchSlice.ts                | TypeScript         |         39 |         29 |         10 |         78 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\store\features\signUp\signUpAPI.ts                  | TypeScript         |         10 |          1 |          2 |         13 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\store\features\signUp\signUpSlice.ts                | TypeScript         |         61 |         10 |          4 |         75 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\store\features\trendingList\trendingListAPI.ts      | TypeScript         |          5 |          1 |          3 |          9 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\store\features\trendingList\trendingListSlice.ts    | TypeScript         |         32 |         13 |          9 |         54 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\src\store\store.ts                                      | TypeScript         |         33 |          0 |          3 |         36 |
| f:\研究生学习\编程学习\my_projects\model_library_ts\tsconfig.json                                           | JSON with Comments |         26 |          0 |          1 |         27 |
| Total                                                                                              |                    |     42,614 |        990 |        816 |     44,420 |
+----------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
