Date : 2023-03-31 17:03:25
Directory : f:\研究生学习\编程学习\my_projects\model_library_ts
Total : 144 files,  42614 codes, 990 comments, 816 blanks, all 44420 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          3 |     36,186 |          0 |          3 |     36,189 |
| TypeScript JSX     |         46 |      2,403 |        238 |        197 |      2,838 |
| TypeScript         |         39 |      1,659 |        332 |        233 |      2,224 |
| JavaScript         |         15 |      1,327 |        381 |        155 |      1,863 |
| SCSS               |         32 |        854 |         16 |        169 |      1,039 |
| Markdown           |          2 |        106 |          0 |         55 |        161 |
| XML                |          3 |         30 |          0 |          0 |         30 |
| JSON with Comments |          1 |         26 |          0 |          1 |         27 |
| HTML               |          1 |         18 |         23 |          3 |         44 |
| CSS                |          1 |          4 |          0 |          0 |          4 |
| Properties         |          1 |          1 |          0 |          0 |          1 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                               | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                  |        144 |     42,614 |        990 |        816 |     44,420 |
| . (Files)                                                                                          |          6 |     36,216 |          1 |         24 |     36,241 |
| config                                                                                             |         10 |        983 |        335 |        105 |      1,423 |
| config (Files)                                                                                     |          6 |        911 |        328 |         88 |      1,327 |
| config\jest                                                                                        |          3 |         65 |          7 |         14 |         86 |
| config\webpack                                                                                     |          1 |          7 |          0 |          3 |         10 |
| config\webpack\persistentCache                                                                     |          1 |          7 |          0 |          3 |         10 |
| public                                                                                             |          3 |         47 |         23 |          4 |         74 |
| scripts                                                                                            |          3 |        332 |         45 |         49 |        426 |
| src                                                                                                |        122 |      5,036 |        586 |        634 |      6,256 |
| src (Files)                                                                                        |          6 |        152 |         13 |         37 |        202 |
| src\app                                                                                            |          9 |        521 |         26 |         41 |        588 |
| src\app (Files)                                                                                    |          6 |        491 |         26 |         41 |        558 |
| src\app\icons                                                                                      |          3 |         30 |          0 |          0 |         30 |
| src\components                                                                                     |         34 |      1,174 |         60 |        171 |      1,405 |
| src\components\CategoryLabel                                                                       |          2 |         42 |          0 |          9 |         51 |
| src\components\CodeDisplay                                                                         |          2 |        149 |         15 |         21 |        185 |
| src\components\CodeEditBox                                                                         |          2 |        127 |          1 |         18 |        146 |
| src\components\CodeEditor                                                                          |          2 |        175 |         15 |         22 |        212 |
